category_name,subcategory,collection_name,collection_link
Living Room,Occasional Tables,Occasional Tables,https://parker-house.com/collections/occasional-tables
Living Room,Entertainment, TV Consoles,https://parker-house.com/collections/tv-consoles
Living Room,Entertainment, Entertainment Walls,https://parker-house.com/collections/entertainment-walls
Living Room,Accents,  Bookcases,https://parker-house.com/collections/accent-bookcase
Living Room,Accents,  Chairs,https://parker-house.com/collections/accent-chairs
Living Room,Accents,  Consoles,https://parker-house.com/collections/accent-consoles
Living Room,Accents,  Mirrors,https://parker-house.com/collections/accent-mirrors
Living Room,Accents, Pillows,https://parker-house.com/collections/pillows/Pillows
Living Room,Accents,  Tables,https://parker-house.com/collections/accent-tables-2
Upholstery,Stationary,Sofa Groups,https://parker-house.com/collections/stationary-sofa-groups
Upholstery,Stationary,Modular Groups & Sectionals,https://parker-house.com/collections/stationary-modular-sectionals
Upholstery,Stationary,Accent Chairs,https://parker-house.com/collections/accent-chairs
Upholstery,Stationary,Ottomans,https://parker-house.com/collections/ottomans
Upholstery,Stationary,Pillows,https://parker-house.com/collections/pillows/Pillows
Upholstery,Stationary,Swivel Chairs,https://parker-house.com/collections/swivel-chairs
Upholstery,Stationary,Swivel Chairs w/ Ottomans,https://parker-house.com/collections/swivel-chairs-and-ottomans
Upholstery,Cordless Recliners,Cordless Recliners,https://parker-house.com/collections/freemotion-included
Upholstery,Lift Chairs,Lift Chairs,https://parker-house.com/collections/lift-chairs
Upholstery,Zero Gravity Recliners,Zero Gravity Recliners,https://parker-house.com/collections/zero-gravity-recliners
Dining,Category,Bars,https://parker-house.com/collections/dining-bars
Dining,Category,Everywhere Consoles,https://parker-house.com/collections/everywhere-console
Dining,Category,Seating,https://parker-house.com/collections/dining-seating
Dining,Category,Serving & Display,https://parker-house.com/collections/dining-serving-and-display
Dining,Category,Tables,https://parker-house.com/collections/tables
Office & Library,Desks & Credenzas,  Executive Desks,https://parker-house.com/collections/executive-desks
Office & Library,Desks & Credenzas,  Writing Desks,https://parker-house.com/collections/writing-desks
Office & Library,Desks & Credenzas,  Motorized Sit/Stand Desks,https://parker-house.com/collections/motorized-sit-stand-lift-desks
Office & Library,Desks & Credenzas,  Modular Desks,https://parker-house.com/pages/modular-home-office
Office & Library,Desks & Credenzas,  Workstations,https://parker-house.com/collections/workstations
Office & Library,Desks & Credenzas,  Credenzas,https://parker-house.com/collections/credenza
Office & Library,Bookcases,Bookcases,https://parker-house.com/collections/bookcases
Office & Library,File Cabinets,File Cabinets,https://parker-house.com/collections/file-cabinets
Office & Library,Office Chairs,  Leather,https://parker-house.com/collections/office-chairs
Office & Library,Office Chairs,  Fabric,https://parker-house.com/collections/office-chairs-fabric
Bedroom,Americana Modern Bedroom,Americana Modern Bedroom,https://parker-house.com/collections/americana-modern/bedroom
Bedroom,Escape Bedroom,Escape Bedroom,https://parker-house.com/collections/escape-bedroom
Bedroom,Pure Modern Bedroom,Pure Modern Bedroom,https://parker-house.com/collections/pure-modern-bedroom
Bedroom,Storage Benches,Storage Benches,https://parker-house.com/collections/benches
